feature,importance
BURO_MONTHS_BALANCE_MIN_MIN,0
BURO_MONTHS_BALANCE_MAX_MAX,0
BURO_MONTHS_BALANCE_SIZE_MEAN,0
BURO_MONTHS_BALANCE_SIZE_SUM,0
BURO_CREDIT_ACTIVE_Active_MEAN,5
BURO_CREDIT_ACTIVE_Sold_MEAN,0
BURO_CREDIT_TYPE_Another type of loan_MEAN,0
BURO_CREDIT_TYPE_Car loan_MEAN,0
BURO_CREDIT_TYPE_Consumer credit_MEAN,4
BURO_CREDIT_TYPE_Credit card_MEAN,3
BURO_CREDIT_TYPE_Microloan_MEAN,0
BURO_CREDIT_TYPE_Mortgage_MEAN,0
BURO_STATUS_0_MEAN_MEAN,1
BURO_STATUS_1_MEAN_MEAN,0
BURO_STATUS_2_MEAN_MEAN,0
BURO_STATUS_C_MEAN_MEAN,0
BURO_STATUS_X_MEAN_MEAN,0
ACTIVE_DAYS_CREDIT_MIN,0
ACTIVE_DAYS_CREDIT_MAX,1
ACTIVE_DAYS_CREDIT_MEAN,3
ACTIVE_DAYS_CREDIT_VAR,1
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,2
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,0
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,4
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,0
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,0
ACTIVE_AMT_CREDIT_SUM_MAX,2
ACTIVE_AMT_CREDIT_SUM_MEAN,0
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,0
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,0
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,2
ACTIVE_AMT_ANNUITY_MAX,0
ACTIVE_MONTHS_BALANCE_MIN_MIN,2
ACTIVE_MONTHS_BALANCE_MAX_MAX,0
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,6
ACTIVE_MONTHS_BALANCE_SIZE_SUM,1
CLOSED_DAYS_CREDIT_MIN,12
CLOSED_DAYS_CREDIT_MAX,0
CLOSED_DAYS_CREDIT_MEAN,0
CLOSED_DAYS_CREDIT_VAR,0
CLOSED_DAYS_CREDIT_ENDDATE_MIN,0
CLOSED_DAYS_CREDIT_ENDDATE_MAX,0
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,0
CLOSED_DAYS_CREDIT_UPDATE_MEAN,0
CLOSED_AMT_CREDIT_SUM_MAX,0
CLOSED_AMT_CREDIT_SUM_MEAN,0
CLOSED_AMT_CREDIT_SUM_SUM,0
CLOSED_AMT_CREDIT_SUM_DEBT_MAX,0
CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,0
CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,0
CLOSED_AMT_ANNUITY_MEAN,0
CLOSED_MONTHS_BALANCE_MIN_MIN,0
CLOSED_MONTHS_BALANCE_MAX_MAX,0
CLOSED_MONTHS_BALANCE_SIZE_MEAN,0
PREV_AMT_ANNUITY_MIN,0
PREV_AMT_ANNUITY_MAX,0
PREV_AMT_ANNUITY_MEAN,0
PREV_AMT_APPLICATION_MIN,10
PREV_AMT_APPLICATION_MAX,4
PREV_AMT_APPLICATION_MEAN,0
PREV_APP_CREDIT_PERC_MIN,0
PREV_APP_CREDIT_PERC_MAX,0
PREV_APP_CREDIT_PERC_MEAN,3
PREV_APP_CREDIT_PERC_VAR,0
PREV_AMT_DOWN_PAYMENT_MIN,1
PREV_AMT_DOWN_PAYMENT_MAX,4
PREV_AMT_DOWN_PAYMENT_MEAN,8
PREV_AMT_GOODS_PRICE_MIN,1
PREV_HOUR_APPR_PROCESS_START_MIN,0
PREV_HOUR_APPR_PROCESS_START_MAX,2
PREV_HOUR_APPR_PROCESS_START_MEAN,0
PREV_RATE_DOWN_PAYMENT_MIN,1
PREV_RATE_DOWN_PAYMENT_MAX,0
PREV_RATE_DOWN_PAYMENT_MEAN,0
PREV_DAYS_DECISION_MIN,1
PREV_DAYS_DECISION_MAX,1
PREV_DAYS_DECISION_MEAN,0
PREV_CNT_PAYMENT_MEAN,0
PREV_CNT_PAYMENT_SUM,0
PREV_NAME_CONTRACT_TYPE_Cash loans_MEAN,0
PREV_NAME_CONTRACT_TYPE_Consumer loans_MEAN,0
PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN,0
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,2
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,0
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,0
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,2
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,2
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,0
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Urgent needs_MEAN,0
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,6
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,0
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,3
PREV_NAME_PAYMENT_TYPE_Cash through the bank_MEAN,1
PREV_NAME_PAYMENT_TYPE_Non-cash from your account_MEAN,0
PREV_CODE_REJECT_REASON_HC_MEAN,1
PREV_CODE_REJECT_REASON_LIMIT_MEAN,0
PREV_CODE_REJECT_REASON_SCO_MEAN,0
PREV_CODE_REJECT_REASON_SCOFR_MEAN,0
PREV_NAME_TYPE_SUITE_Children_MEAN,0
PREV_NAME_TYPE_SUITE_Family_MEAN,0
PREV_NAME_TYPE_SUITE_Other_A_MEAN,0
PREV_NAME_TYPE_SUITE_Other_B_MEAN,0
PREV_NAME_TYPE_SUITE_Spouse_ partner_MEAN,0
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,0
PREV_NAME_TYPE_SUITE_nan_MEAN,1
PREV_NAME_CLIENT_TYPE_New_MEAN,8
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,0
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,4
PREV_NAME_GOODS_CATEGORY_Audio/Video_MEAN,0
PREV_NAME_GOODS_CATEGORY_Clothing and Accessories_MEAN,0
PREV_NAME_GOODS_CATEGORY_Computers_MEAN,0
PREV_NAME_GOODS_CATEGORY_Construction Materials_MEAN,0
PREV_NAME_GOODS_CATEGORY_Consumer Electronics_MEAN,0
PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,0
PREV_NAME_GOODS_CATEGORY_Gardening_MEAN,0
PREV_NAME_GOODS_CATEGORY_Jewelry_MEAN,0
