feature,importance
BURO_DAYS_CREDIT_ENDDATE_MIN,0.0045669437
BURO_DAYS_CREDIT_ENDDATE_MAX,4.2805086e-06
BURO_DAYS_CREDIT_ENDDATE_MEAN,0.00034427398
BURO_DAYS_CREDIT_UPDATE_MEAN,0.00020177748
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,0.0
BURO_AMT_CREDIT_SUM_MAX,0.00010006189
BURO_AMT_CREDIT_SUM_MEAN,0.0
BURO_AMT_CREDIT_SUM_SUM,0.00015558385
BURO_AMT_CREDIT_SUM_DEBT_MAX,0.23780571
BURO_AMT_CREDIT_SUM_DEBT_MEAN,0.00018463502
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,0.0
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,0.001904599
BURO_AMT_CREDIT_SUM_LIMIT_SUM,0.0
BURO_AMT_ANNUITY_MAX,0.00038699002
BURO_AMT_ANNUITY_MEAN,0.0044276305
BURO_MONTHS_BALANCE_MIN_MIN,0.006402105
BURO_MONTHS_BALANCE_MAX_MAX,0.0
BURO_MONTHS_BALANCE_SIZE_MEAN,0.0
BURO_MONTHS_BALANCE_SIZE_SUM,0.0
BURO_CREDIT_ACTIVE_Active_MEAN,0.0012098731
BURO_CREDIT_ACTIVE_Sold_MEAN,0.0
BURO_CREDIT_TYPE_Another type of loan_MEAN,0.0
BURO_CREDIT_TYPE_Car loan_MEAN,0.0
BURO_CREDIT_TYPE_Consumer credit_MEAN,0.00045069758
BURO_CREDIT_TYPE_Credit card_MEAN,0.0022463812
BURO_CREDIT_TYPE_Microloan_MEAN,0.0
BURO_CREDIT_TYPE_Mortgage_MEAN,0.00091128267
BURO_STATUS_0_MEAN_MEAN,0.0
BURO_STATUS_1_MEAN_MEAN,0.0
BURO_STATUS_2_MEAN_MEAN,0.0
BURO_STATUS_C_MEAN_MEAN,0.001709916
BURO_STATUS_X_MEAN_MEAN,0.0009548092
ACTIVE_DAYS_CREDIT_MIN,5.339757e-06
ACTIVE_DAYS_CREDIT_MAX,2.9893441e-05
ACTIVE_DAYS_CREDIT_MEAN,2.5465066e-05
ACTIVE_DAYS_CREDIT_VAR,0.00016114509
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,0.0002413399
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,0.0
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,0.007553866
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,0.014762545
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,0.0043379506
ACTIVE_AMT_CREDIT_SUM_MAX,3.424711e-05
ACTIVE_AMT_CREDIT_SUM_MEAN,0.0031901111
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,0.0
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,0.0
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,4.8752136e-05
ACTIVE_AMT_ANNUITY_MAX,0.07397166
ACTIVE_MONTHS_BALANCE_MIN_MIN,0.0
ACTIVE_MONTHS_BALANCE_MAX_MAX,0.0
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,0.005182184
ACTIVE_MONTHS_BALANCE_SIZE_SUM,0.0
CLOSED_DAYS_CREDIT_MIN,0.0014075689
CLOSED_DAYS_CREDIT_MAX,0.0
CLOSED_DAYS_CREDIT_MEAN,3.6588473e-05
CLOSED_DAYS_CREDIT_VAR,0.015676009
CLOSED_DAYS_CREDIT_ENDDATE_MIN,0.0
CLOSED_DAYS_CREDIT_ENDDATE_MAX,0.040288232
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,0.0014720068
CLOSED_DAYS_CREDIT_UPDATE_MEAN,0.0014664929
CLOSED_AMT_CREDIT_SUM_MAX,0.0
CLOSED_AMT_CREDIT_SUM_MEAN,0.0010737284
CLOSED_AMT_CREDIT_SUM_SUM,0.003060784
CLOSED_AMT_CREDIT_SUM_DEBT_MAX,0.0
CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,0.0
CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,0.0
CLOSED_AMT_ANNUITY_MEAN,0.00032471033
CLOSED_MONTHS_BALANCE_MIN_MIN,0.0
CLOSED_MONTHS_BALANCE_MAX_MAX,0.0
CLOSED_MONTHS_BALANCE_SIZE_MEAN,0.0
PREV_AMT_ANNUITY_MIN,1.3757441e-05
PREV_AMT_ANNUITY_MAX,0.0006040758
PREV_AMT_ANNUITY_MEAN,0.0
PREV_AMT_APPLICATION_MIN,0.0042184293
PREV_AMT_APPLICATION_MAX,0.006846566
PREV_AMT_APPLICATION_MEAN,0.00014068234
PREV_APP_CREDIT_PERC_MIN,0.0010543427
PREV_APP_CREDIT_PERC_MAX,0.0005611863
PREV_APP_CREDIT_PERC_MEAN,4.023482e-05
PREV_APP_CREDIT_PERC_VAR,0.00014514104
PREV_AMT_DOWN_PAYMENT_MIN,0.0
PREV_AMT_DOWN_PAYMENT_MAX,0.012905936
PREV_AMT_DOWN_PAYMENT_MEAN,0.0
PREV_AMT_GOODS_PRICE_MIN,0.0
PREV_HOUR_APPR_PROCESS_START_MIN,0.0
PREV_HOUR_APPR_PROCESS_START_MAX,0.0
PREV_HOUR_APPR_PROCESS_START_MEAN,0.008698171
PREV_RATE_DOWN_PAYMENT_MIN,0.0
PREV_RATE_DOWN_PAYMENT_MAX,0.0007196569
PREV_RATE_DOWN_PAYMENT_MEAN,0.0
PREV_DAYS_DECISION_MIN,0.0
PREV_DAYS_DECISION_MAX,8.901916e-06
PREV_DAYS_DECISION_MEAN,0.0
PREV_CNT_PAYMENT_MEAN,0.001324403
PREV_CNT_PAYMENT_SUM,0.0077503617
PREV_NAME_CONTRACT_TYPE_Cash loans_MEAN,0.0
PREV_NAME_CONTRACT_TYPE_Consumer loans_MEAN,0.00014252703
PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN,0.0
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,3.1818716e-05
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,0.0
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,0.0
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,0.0
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,0.00049269455
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,0.001027018
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Urgent needs_MEAN,0.0
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,0.00809294
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,0.000544811
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,1.7307082e-05
PREV_NAME_PAYMENT_TYPE_Cash through the bank_MEAN,0.0
PREV_NAME_PAYMENT_TYPE_Non-cash from your account_MEAN,0.0
PREV_CODE_REJECT_REASON_HC_MEAN,0.0
PREV_CODE_REJECT_REASON_LIMIT_MEAN,0.005898811
PREV_CODE_REJECT_REASON_SCO_MEAN,0.0
PREV_CODE_REJECT_REASON_SCOFR_MEAN,0.0
PREV_NAME_TYPE_SUITE_Children_MEAN,0.02842836
PREV_NAME_TYPE_SUITE_Family_MEAN,0.0
PREV_NAME_TYPE_SUITE_Other_A_MEAN,0.0
PREV_NAME_TYPE_SUITE_Other_B_MEAN,0.0
PREV_NAME_TYPE_SUITE_Spouse_ partner_MEAN,0.0
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,0.0001213604
PREV_NAME_TYPE_SUITE_nan_MEAN,0.00030779402
PREV_NAME_CLIENT_TYPE_New_MEAN,1.649034e-05
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,0.0
