feature,importance
BURO_MONTHS_BALANCE_MIN_MIN,2
BURO_MONTHS_BALANCE_MAX_MAX,0
BURO_MONTHS_BALANCE_SIZE_MEAN,0
BURO_MONTHS_BALANCE_SIZE_SUM,5
BURO_CREDIT_ACTIVE_Active_MEAN,14
BURO_CREDIT_ACTIVE_Sold_MEAN,0
BURO_CREDIT_TYPE_Another type of loan_MEAN,0
BURO_CREDIT_TYPE_Car loan_MEAN,0
BURO_CREDIT_TYPE_Consumer credit_MEAN,0
BURO_CREDIT_TYPE_Credit card_MEAN,6
BURO_CREDIT_TYPE_Microloan_MEAN,15
BURO_CREDIT_TYPE_Mortgage_MEAN,4
BURO_STATUS_0_MEAN_MEAN,0
BURO_STATUS_1_MEAN_MEAN,0
BURO_STATUS_2_MEAN_MEAN,0
BURO_STATUS_C_MEAN_MEAN,1
BURO_STATUS_X_MEAN_MEAN,3
ACTIVE_DAYS_CREDIT_MIN,1
ACTIVE_DAYS_CREDIT_MAX,10
ACTIVE_DAYS_CREDIT_MEAN,7
ACTIVE_DAYS_CREDIT_VAR,0
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,3
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,9
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,10
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,0
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,9
ACTIVE_AMT_CREDIT_SUM_MAX,1
ACTIVE_AMT_CREDIT_SUM_MEAN,0
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,9
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,1
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,9
ACTIVE_AMT_ANNUITY_MAX,3
ACTIVE_MONTHS_BALANCE_MIN_MIN,0
ACTIVE_MONTHS_BALANCE_MAX_MAX,0
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,1
ACTIVE_MONTHS_BALANCE_SIZE_SUM,5
CLOSED_DAYS_CREDIT_MIN,2
CLOSED_DAYS_CREDIT_MAX,7
CLOSED_DAYS_CREDIT_MEAN,0
CLOSED_DAYS_CREDIT_VAR,0
