feature,importance
CODE_GENDER,32
FLAG_OWN_CAR,29
CNT_CHILDREN,7
AMT_INCOME_TOTAL,2
AMT_CREDIT,12
AMT_ANNUITY,10
REGION_POPULATION_RELATIVE,5
DAYS_BIRTH,16
DAYS_EMPLOYED,26
DAYS_REGISTRATION,1
DAYS_ID_PUBLISH,7
OWN_CAR_AGE,36
FLAG_WORK_PHONE,1
FLAG_PHONE,11
CNT_FAM_MEMBERS,53
REGION_RATING_CLIENT,1
HOUR_APPR_PROCESS_START,1
LIVE_REGION_NOT_WORK_REGION,0
REG_CITY_NOT_LIVE_CITY,0
REG_CITY_NOT_WORK_CITY,2
LIVE_CITY_NOT_WORK_CITY,6
EXT_SOURCE_1,36
EXT_SOURCE_2,93
EXT_SOURCE_3,102
APARTMENTS_AVG,0
BASEMENTAREA_AVG,3
YEARS_BEGINEXPLUATATION_AVG,6
YEARS_BUILD_AVG,0
COMMONAREA_AVG,1
ELEVATORS_AVG,3
ENTRANCES_AVG,17
FLOORSMAX_AVG,43
FLOORSMIN_AVG,4
LANDAREA_AVG,2
LIVINGAPARTMENTS_AVG,0
LIVINGAREA_AVG,1
NONLIVINGAPARTMENTS_AVG,4
NONLIVINGAREA_AVG,27
OBS_30_CNT_SOCIAL_CIRCLE,49
DEF_30_CNT_SOCIAL_CIRCLE,58
DEF_60_CNT_SOCIAL_CIRCLE,15
DAYS_LAST_PHONE_CHANGE,19
FLAG_DOCUMENT_3,7
FLAG_DOCUMENT_8,6
FLAG_DOCUMENT_16,0
FLAG_DOCUMENT_18,0
AMT_REQ_CREDIT_BUREAU_DAY,0
AMT_REQ_CREDIT_BUREAU_WEEK,0
AMT_REQ_CREDIT_BUREAU_MON,14
AMT_REQ_CREDIT_BUREAU_QRT,20
AMT_REQ_CREDIT_BUREAU_YEAR,38
NAME_CONTRACT_TYPE_Cash loans,11
NAME_CONTRACT_TYPE_Revolving loans,5
FLAG_OWN_REALTY_N,22
FLAG_OWN_REALTY_Y,23
NAME_TYPE_SUITE_Other_B,0
NAME_TYPE_SUITE_Spouse_ partner,1
NAME_TYPE_SUITE_Unaccompanied,9
NAME_INCOME_TYPE_Commercial associate,31
NAME_INCOME_TYPE_State servant,21
NAME_INCOME_TYPE_Working,26
NAME_EDUCATION_TYPE_Higher education,20
NAME_EDUCATION_TYPE_Incomplete higher,10
NAME_EDUCATION_TYPE_Lower secondary,8
NAME_EDUCATION_TYPE_Secondary / secondary special,32
NAME_FAMILY_STATUS_Civil marriage,14
NAME_FAMILY_STATUS_Married,22
NAME_FAMILY_STATUS_Separated,20
NAME_FAMILY_STATUS_Single / not married,29
NAME_FAMILY_STATUS_Widow,5
NAME_HOUSING_TYPE_House / apartment,3
NAME_HOUSING_TYPE_Municipal apartment,1
NAME_HOUSING_TYPE_Office apartment,0
OCCUPATION_TYPE_Accountants,0
OCCUPATION_TYPE_Core staff,6
OCCUPATION_TYPE_Drivers,5
OCCUPATION_TYPE_High skill tech staff,0
OCCUPATION_TYPE_Laborers,9
OCCUPATION_TYPE_Medicine staff,0
OCCUPATION_TYPE_Sales staff,13
WEEKDAY_APPR_PROCESS_START_FRIDAY,12
WEEKDAY_APPR_PROCESS_START_MONDAY,16
WEEKDAY_APPR_PROCESS_START_SATURDAY,12
WEEKDAY_APPR_PROCESS_START_SUNDAY,14
WEEKDAY_APPR_PROCESS_START_TUESDAY,14
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,18
ORGANIZATION_TYPE_Bank,0
ORGANIZATION_TYPE_Business Entity Type 3,10
ORGANIZATION_TYPE_Construction,1
ORGANIZATION_TYPE_Industry_ type 1,0
ORGANIZATION_TYPE_Industry_ type 10,0
ORGANIZATION_TYPE_Industry_ type 11,0
ORGANIZATION_TYPE_Industry_ type 12,0
ORGANIZATION_TYPE_Industry_ type 13,0
ORGANIZATION_TYPE_Industry_ type 2,0
ORGANIZATION_TYPE_Industry_ type 3,0
ORGANIZATION_TYPE_Industry_ type 4,0
ORGANIZATION_TYPE_Industry_ type 5,0
ORGANIZATION_TYPE_Industry_ type 6,0
ORGANIZATION_TYPE_Industry_ type 7,0
ORGANIZATION_TYPE_Industry_ type 8,0
ORGANIZATION_TYPE_Industry_ type 9,0
ORGANIZATION_TYPE_Kindergarten,0
ORGANIZATION_TYPE_Medicine,0
ORGANIZATION_TYPE_Military,0
ORGANIZATION_TYPE_Police,0
ORGANIZATION_TYPE_School,0
ORGANIZATION_TYPE_Security Ministries,0
ORGANIZATION_TYPE_Self-employed,12
ORGANIZATION_TYPE_Trade_ type 1,0
ORGANIZATION_TYPE_Trade_ type 2,0
ORGANIZATION_TYPE_Trade_ type 3,0
ORGANIZATION_TYPE_Trade_ type 4,0
ORGANIZATION_TYPE_Trade_ type 5,0
ORGANIZATION_TYPE_Trade_ type 6,0
ORGANIZATION_TYPE_Trade_ type 7,2
ORGANIZATION_TYPE_Transport_ type 1,0
ORGANIZATION_TYPE_Transport_ type 2,0
ORGANIZATION_TYPE_Transport_ type 3,1
ORGANIZATION_TYPE_Transport_ type 4,0
WALLSMATERIAL_MODE_Others,0
WALLSMATERIAL_MODE_Panel,3
WALLSMATERIAL_MODE_Stone_ brick,6
DAYS_EMPLOYED_ANOM,46
INCOME_CREDIT_PERC,0
INCOME_PER_PERSON,0
ANNUITY_INCOME_PERC,12
PAYMENT_RATE,25
BURO_DAYS_CREDIT_MIN,3
BURO_DAYS_CREDIT_MAX,5
BURO_DAYS_CREDIT_MEAN,3
BURO_DAYS_CREDIT_VAR,0
BURO_DAYS_CREDIT_ENDDATE_MIN,4
BURO_DAYS_CREDIT_ENDDATE_MAX,10
BURO_DAYS_CREDIT_ENDDATE_MEAN,1
BURO_DAYS_CREDIT_UPDATE_MEAN,0
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,6
BURO_AMT_CREDIT_SUM_MAX,1
BURO_AMT_CREDIT_SUM_MEAN,0
BURO_AMT_CREDIT_SUM_SUM,10
BURO_AMT_CREDIT_SUM_DEBT_MAX,4
BURO_AMT_CREDIT_SUM_DEBT_MEAN,10
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,4
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,2
BURO_AMT_CREDIT_SUM_LIMIT_SUM,2
BURO_AMT_ANNUITY_MAX,5
BURO_AMT_ANNUITY_MEAN,1
BURO_MONTHS_BALANCE_MIN_MIN,1
BURO_MONTHS_BALANCE_MAX_MAX,0
BURO_MONTHS_BALANCE_SIZE_MEAN,0
BURO_MONTHS_BALANCE_SIZE_SUM,8
BURO_CREDIT_ACTIVE_Active_MEAN,15
BURO_CREDIT_ACTIVE_Sold_MEAN,0
BURO_CREDIT_TYPE_Another type of loan_MEAN,0
BURO_CREDIT_TYPE_Car loan_MEAN,0
BURO_CREDIT_TYPE_Consumer credit_MEAN,1
BURO_CREDIT_TYPE_Credit card_MEAN,7
BURO_CREDIT_TYPE_Microloan_MEAN,14
BURO_CREDIT_TYPE_Mortgage_MEAN,2
BURO_STATUS_0_MEAN_MEAN,0
BURO_STATUS_1_MEAN_MEAN,0
BURO_STATUS_2_MEAN_MEAN,0
BURO_STATUS_C_MEAN_MEAN,1
BURO_STATUS_X_MEAN_MEAN,0
ACTIVE_DAYS_CREDIT_MIN,1
ACTIVE_DAYS_CREDIT_MAX,11
ACTIVE_DAYS_CREDIT_MEAN,7
ACTIVE_DAYS_CREDIT_VAR,0
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,1
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,2
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,8
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,0
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,13
ACTIVE_AMT_CREDIT_SUM_MAX,1
ACTIVE_AMT_CREDIT_SUM_MEAN,1
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,10
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,3
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,6
ACTIVE_AMT_ANNUITY_MAX,1
ACTIVE_MONTHS_BALANCE_MIN_MIN,0
ACTIVE_MONTHS_BALANCE_MAX_MAX,0
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,1
ACTIVE_MONTHS_BALANCE_SIZE_SUM,5
